AUDONTD156N,Month,Year,,,,,,,
6/1/2001,6,2001,5.02,,,,9,2009,3.018295455
6/4/2001,6,2001,5,,,,10,2009,3.212727273
6/5/2001,6,2001,4.96,,,,11,2009,3.541071429
6/6/2001,6,2001,4.96,,,,12,2009,3.866904762
6/7/2001,6,2001,4.975,,,,1,2010,3.800875
6/8/2001,6,2001,4.9575,,,,2,2010,3.8075
6/11/2001,6,2001,4.9475,,,,3,2010,3.951195652
6/12/2001,6,2001,4.9375,,,,4,2010,4.252375
6/13/2001,6,2001,4.9425,,,,5,2010,4.541184211
6/14/2001,6,2001,4.975,,,,6,2010,4.567613636
6/15/2001,6,2001,4.98,,,,7,2010,4.597727273
6/18/2001,6,2001,4.9875,,,,8,2010,4.567380952
6/19/2001,6,2001,4.97969,,,,9,2010,4.552954545
6/20/2001,6,2001,4.98469,,,,10,2010,4.505357143
6/21/2001,6,2001,4.98719,,,,11,2010,4.738068182
6/22/2001,6,2001,5,,,,12,2010,4.845119048
6/25/2001,6,2001,5,,,,1,2011,4.839125
6/26/2001,6,2001,5.0025,,,,2,2011,4.774375
6/27/2001,6,2001,5.0825,,,,3,2011,4.741847826
6/28/2001,6,2001,5.08313,,,,4,2011,4.755486111
6/29/2001,6,2001,5.06813,,,,5,2011,4.749125
7/2/2001,7,2001,5,,,,6,2011,4.748977273
7/3/2001,7,2001,5,,,,7,2011,4.750297619
7/4/2001,7,2001,4.9925,,,,8,2011,4.809477273
7/5/2001,7,2001,5,,,,9,2011,4.818988636
7/6/2001,7,2001,4.98719,,,,10,2011,4.83702381
7/9/2001,7,2001,4.9925,,,,11,2011,4.6075
7/10/2001,7,2001,4.9575,,,,12,2011,4.46215
7/11/2001,7,2001,4.94906,,,,1,2012,4.424857143
7/12/2001,7,2001,4.93844,,,,2,2012,4.409428571
7/13/2001,7,2001,4.94,,,,3,2012,4.410909091
7/16/2001,7,2001,4.90156,,,,4,2012,4.395263158
